Date,Time,x-booster (km),y-booster (km),z-booster (km),x-moon (km),y-moon (km),z-moon (km)
1/9/2022,5:59:59 AM,487402.4637,-156550.3715,-142592.8533,381240.1944,89823.10329,10625.0601
1/9/2022,6:59:59 AM,488460.6478,-155727.2198,-143251.093,380663.0693,92991.3509,12220.73931
1/9/2022,7:59:59 AM,489500.7819,-154898.8375,-143903.5745,380052.6926,96151.52979,13815.25003
1/9/2022,8:59:59 AM,490525.1474,-154062.1556,-144553.2809,379409.2167,99303.18206,15408.61255
1/9/2022,9:59:59 AM,491529.6454,-153223.8479,-145199.6335,378732.7016,102446.2514,17000.64186
1/9/2022,10:59:59 AM,492515.8729,-152384.5609,-145840.365,378023.3172,105580.2877,18591.08419
1/9/2022,11:59:59 AM,493484.45,-151536.7702,-146477.6573,377281.1354,108705.1702,20179.95962
1/9/2022,12:59:59 PM,494436.0881,-150684.7411,-147112.018,376506.2928,111820.5847,21767.08272
1/9/2022,1:59:59 PM,495368.7657,-149831.9144,-147743.1374,375698.8906,114926.3513,23352.26791
1/9/2022,2:59:59 PM,496285.3456,-148971.4214,-148368.4655,374859.0637,118022.1583,24935.46673
1/9/2022,3:59:59 PM,501863.3654,-149504.6753,-130794.721,373986.9369,121107.7647,26516.49358
1/9/2022,4:59:59 PM,502766.3423,-148635.8981,-131392.1456,373082.607,124182.9938,28095.3001
1/9/2022,5:59:59 PM,503652.3899,-147759.4682,-131986.7344,372146.2501,127247.48,29671.6321
1/9/2022,6:59:59 PM,504520.8906,-146883.2754,-132576.1468,371177.9719,130301.0532,31245.37271
1/9/2022,7:59:59 PM,505372.4361,-145999.6521,-133162.6442,370177.8661,133343.5406,32816.54249
1/9/2022,8:59:59 PM,506204.8876,-145116.0613,-133746.1893,369146.1236,136374.5869,34384.81883
1/9/2022,9:59:59 PM,507021.2858,-144225.53,-134326.9915,368082.8656,139393.9593,35950.22262
1/9/2022,10:59:59 PM,507819.6299,-143331.5821,-134904.7682,366988.2123,142401.4995,37512.50018
1/9/2022,11:59:59 PM,508601.4782,-142434.7731,-135477.1699,365862.285,145396.978,39071.67284
1/10/2022,12:59:59 AM,509365.266,-141534.7761,-136046.4682,364705.2563,148380.1129,40627.48732
1/10/2022,1:59:59 AM,510111.9209,-140631.964,-136612.8761,363517.2837,151350.6182,42179.89672
1/10/2022,2:59:59 AM,510841.5213,-139722.4757,-137176.1079,362298.4601,154308.4057,43728.71698
1/10/2022,3:59:59 AM,511552.0241,-138813.8504,-137736.1268,361048.9715,157253.1298,45273.90175
1/10/2022,4:59:59 AM,512247.9672,-137899.4442,-138290.8283,359768.9394,160184.6434,46815.26758
1/10/2022,5:59:59 AM,512925.172,-136982.2255,-138844.8157,358458.5417,163102.6757,48352.63132
1/10/2022,6:59:59 AM,513585.8689,-136062.9025,-139393.1601,357117.9079,166007.0113,49886.01638
1/10/2022,7:59:59 AM,514229.4567,-135137.4218,-139938.1445,355747.1907,168897.4465,51415.24034
1/10/2022,8:59:59 AM,514855.8737,-134209.8691,-140479.9873,354346.5745,171773.7191,52940.12121
1/10/2022,9:59:59 AM,515465.1199,-133280.3495,-141018.6541,352916.1695,174635.6849,54460.61483
